Module,Week,Session,Title,Topics Covered,To be taken by,Details,Learning Objective/s of the session (S13n)
1,7,7.2,Scikit-learn & ML Pipelines,"Scikit-learn API: fit, predict, transform | Train/test split and cross-validation | Linear Regression: fit, interpret coefficients, residuals | Pipeline: ColumnTransformer + estimator chained together | Overfitting vs underfitting; bias-variance tradeoff",Industry Mentor,,
1,8,8.1,Classification: Logistic Regression,"Logistic regression: sigmoid function, decision boundary | Cost function and gradient descent for classification | Confusion matrix: TP, TN, FP, FN | Precision, recall, F1-score | ROC curve and AUC interpretation",Industry Mentor,,
1,8,8.2,"Model Evaluation, Regularisation & AI Ethics","K-fold and stratified cross-validation | L1 (Lasso) and L2 (Ridge) regularisation | AI bias: real-world examples in hiring, lending, healthcare | Fairness metrics: demographic parity, equalised odds | Responsible AI checklist before deploying any model",Industry Mentor,,
2,9,9.1,K-Nearest Neighbours,"KNN algorithm: distance metrics (Euclidean, Manhattan) | Choosing K: underfitting vs overfitting tradeoff | Weighted KNN | Curse of dimensionality | KNN for regression vs classification",Industry Mentor,,
2,9,9.2,Support Vector Machines,"Maximum-margin classifier: hyperplane, support vectors | Soft margin: C parameter and its effect | Kernel trick: RBF kernel for non-linear boundaries | SVM for multi-class classification | When SVM works well vs when it struggles",Industry Mentor,,
2,10,10.1,Naive Bayes,"Bayes' theorem applied to classification | Gaussian Naive Bayes for continuous features | Multinomial Naive Bayes for text and count data | Naive independence assumption: when it holds, when it doesn't | Strengths: fast training, works well with small data",Professor,,
2,10,10.2,Decision Trees,"How a tree splits: Gini impurity and information gain | Building a tree step by step on a small example | Controlling complexity: max_depth, min_samples_split | Pre-pruning and post-pruning | Visualising and interpreting a decision tree",Professor,,
2,11,11.1,Random Forests,"Bagging: bootstrap aggregation intuition | How Random Forest combines trees with feature subsampling | Out-of-bag (OOB) score | Feature importances: mean decrease in impurity | Hyperparameters: n_estimators, max_features, max_depth",Industry Mentor,,
2,11,11.2,XGBoost,"Boosting intuition: sequential error correction | XGBoost objective: loss + regularisation term | Key parameters: learning_rate, n_estimators, max_depth | Early stopping to prevent overfitting | Feature importance in gradient boosting",Industry Mentor,,
2,12,12.1,LightGBM,"Leaf-wise growth vs level-wise: speed advantage | Handling categorical features natively | Key parameters: num_leaves, min_child_samples | When to prefer LightGBM over XGBoost | Comparing training speed and accuracy on large datasets",Industry Mentor,,
2,12,12.2,Hyperparameter Tuning,GridSearchCV: exhaustive search with cross-validation | RandomizedSearchCV: efficient random sampling | Optuna: automated hyperparameter optimisation | Defining a search space: ranges and distributions | Reading and interpreting tuning results,Industry Mentor,,
2,13,13.1,Unsupervised Learning: K-Means Clustering,"Clustering intuition: grouping without labels | K-Means algorithm: centroid initialisation, assignment, update | Elbow method for choosing K | Silhouette score: evaluating cluster quality | Applications: customer segmentation, document grouping",Industry Mentor,,
2,13,13.2,Hierarchical & Density-Based Clustering,"Hierarchical clustering: agglomerative approach, linkage criteria | Dendrogram: reading and cutting | DBSCAN: density-based clusters, handling noise points | Comparing K-Means, Hierarchical, DBSCAN | Evaluating clusters without ground truth labels",Industry Mentor,,
2,14,14.1,Dimensionality Reduction: PCA & t-SNE,"Curse of dimensionality and why reduction helps | PCA: explained variance ratio, scree plot, choosing components | t-SNE: visualising high-dimensional data in 2D | UMAP: faster alternative to t-SNE, preserves global structure | When to use PCA vs t-SNE vs UMAP",Industry Mentor,,
2,14,14.2,Anomaly Detection,"Anomaly types: point, contextual, collective | Isolation Forest: random partitioning to isolate outliers | One-Class SVM for novelty detection | Statistical methods: Z-score, IQR for simple anomalies | Evaluation without clean labels: precision-recall at threshold",Industry Mentor,,
2,15,15.1,Recommendation Systems,"Types: collaborative filtering, content-based, hybrid | User-item matrix and the sparsity problem | Market Basket Analysis | Matrix factorisation: SVD and ALS | Item-based vs user-based collaborative filtering | Evaluation metrics: precision@k, recall@k, NDCG",Industry Mentor,,
2,15,15.2,Time Series Analysis & Forecasting,"Time series components: trend, seasonality, noise | Train/test split for time series: avoiding data leakage | Lag features and rolling window features | ARIMA: intuition, ACF/PACF plots | Evaluating forecasts: RMSE, MAPE",Industry Mentor,,
2,16,16.1,Advanced Optimisers & Training Techniques,SGD with momentum: dampening oscillations | Adam: adaptive learning rates per parameter | AdamW: Adam with decoupled weight decay | Gradient clipping: preventing exploding gradients | Mixed precision training: FP16 for speed,Industry Mentor,,
2,16,16.2,Model Compression & Efficiency,"Why model size matters in production | Pruning: removing low-importance weights | Knowledge distillation: train a small student from a large teacher | Quantisation: INT8 and INT4 weight representation | Benchmarking model size, latency, and accuracy tradeoffs",Industry Mentor,,
2,17,17.1,Neural Network Foundations,"From logistic regression to a single neuron | Multi-layer perceptron (MLP): forward pass step by step | Activation functions: ReLU, Sigmoid, Tanh, Softmax — when to use each",Professor,,
2,17,17.2,Backpropagation & Training Intuition,Weight initialisation: Xavier and He | Backpropagation and chain rule: the math behind training,Professor,,
2,18,18.1,PyTorch Fundamentals,"PyTorch tensors: creation, operations, moving to GPU | Autograd: requires_grad, .backward(), .grad | nn.Module: defining layers in init and forward()",Industry Mentor,,
2,18,18.2,Training Loop & Optimisation,"Loss functions: MSELoss, CrossEntropyLoss | Training loop: zero_grad → forward → loss → backward → step | Learning rate schedulers: StepLR, ReduceLROnPlateau | Early stopping: monitor validation loss",Industry Mentor,,
2,19,19.1,Regularisation in Deep Learning,"Dropout: randomly zeroing neurons to prevent co-adaptation | Batch Normalisation: normalise layer inputs, accelerate training | Weight decay as L2 regularisation in optimisers",Industry Mentor,,
2,19,19.2,Deployment & MLOps Foundations,"ML project structure: src, notebooks, data, models | Data versioning with DVC: track datasets like code | Automated testing for ML: data validation, model performance gates | GitHub Actions: run tests on every push | Model registry workflow: dev → staging → production",Industry Mentor,,
3,20,20.1,Convolutional Neural Networks,"Convolution operation: kernel, feature map, padding, stride | Pooling layers: max pooling and average pooling | CNN architecture: conv → relu → pool → flatten → fc | Visualising filters and feature maps | Overfitting in CNNs: dropout and data augmentation",Professor,,
3,20,20.2,CNN Architectures: LeNet to ResNet,"LeNet-5: the original CNN architecture | VGGNet: depth with small 3×3 kernels | ResNet: residual connections and why they solve vanishing gradients | Inception: parallel convolutions at different scales | EfficientNet: compound scaling — depth, width, resolution",Professor,,
3,21,21.1,Transfer Learning,"Transfer learning: reusing features learned on large datasets | Feature extraction: freeze backbone, train new classifier head | Fine-tuning: unfreeze layers and retrain with a low learning rate | Data augmentation: random flip, crop, colour jitter | Choosing the right pre-trained model for your task",Industry Mentor,,
3,21,21.2,Object Detection with YOLO,"Detection vs classification: bounding boxes and class labels | YOLO architecture: grid cells, anchor boxes, confidence scores | IoU metric and Non-Maximum Suppression (NMS) | YOLOv8 with Ultralytics: train, validate, predict | Custom dataset annotation and training workflow",Industry Mentor,,
3,22,22.1,Image Segmentation,"Semantic vs instance segmentation | U-Net architecture: encoder-decoder with skip connections | Pixel-wise loss functions: binary cross-entropy, Dice loss | Using pre-trained segmentation models | Applications: medical imaging, satellite imagery, autonomous vehicles",Industry Mentor,,
3,22,22.2,OpenCV & Practical CV Pipelines,"OpenCV basics: read, resize, colour space conversion (BGR→RGB, HSV) | Edge detection: Canny and Sobel operators | Contour detection and morphological operations | Building a CV inference pipeline: capture → preprocess → infer → display | Integrating OpenCV with a trained PyTorch model",Industry Mentor,,
3,23,23.1,Grad-CAM & CV Model Interpretability,Why interpretability matters in vision models | Grad-CAM: using gradients to visualise where a CNN is looking | Occlusion sensitivity maps | Failure analysis: inspecting misclassified images | Responsible deployment considerations for CV models,Industry Mentor,,
3,23,23.2,Recurrent Neural Networks (RNNs),"Why CNNs fail on sequential data | RNN: unrolled computation, hidden state, forward pass | Vanishing gradient problem in deep RNNs | Bidirectional RNNs: reading sequences both ways | Where RNNs are still used today: time series, audio",Industry Mentor,,
3,24,24.1,NLP Fundamentals & Text Pre-processing,"NLP task taxonomy: classification, NER, summarisation, translation | Text cleaning: lowercasing, punctuation, regex | Tokenisation: word-level and subword (BPE intuition) | Stop words, stemming, lemmatisation | Bag of Words and TF-IDF representations",Professor,,
3,24,24.2,Word Embeddings,Limitations of BoW: no semantic meaning | Word2Vec intuition: king − man + woman = queen | Skip-gram vs CBOW training objectives | Pre-trained GloVe embeddings: loading and using | Embedding layer in PyTorch for downstream tasks,Professor,,
3,25,25.1,LSTM & GRU Networks,"LSTM: cell state, forget gate, input gate, output gate | How LSTM solves the vanishing gradient problem | GRU: simplified gating mechanism | When to use LSTM/GRU: sequence classification, language modelling | Stacked LSTMs and bidirectional LSTMs",Industry Mentor,,
3,25,25.2,Transformers: Self-Attention Mechanism,"Limitations of RNNs that Transformers overcome | Self-attention: Query, Key, Value — step by step | Scaled dot-product attention and softmax | Multi-head attention: learning multiple relationship types | Positional encoding: giving tokens a sense of order",Industry Mentor,,
3,26,26.1,Transformer Architecture & BERT,"Encoder stack: self-attention + feed-forward + layer norm | BERT: masked language model pre-training intuition | BERT tokeniser: [CLS], [SEP], WordPiece subwords | Fine-tuning BERT for text classification with HuggingFace Trainer | HuggingFace Model Hub: loading and pushing models",Industry Mentor,,
3,26,26.2,GPT & Prompt Engineering,"GPT: autoregressive decoder, causal masking | Temperature, top-k, top-p sampling | Zero-shot, few-shot, chain-of-thought prompting | Structured output: JSON mode and format constraints | System prompts and role prompting",Industry Mentor,,
3,27,27.1,LLM Fine-tuning with LoRA,"Why fine-tune vs prompt engineering | LoRA: low-rank matrix decomposition for parameter-efficient tuning | QLoRA: quantised LoRA for consumer hardware | HuggingFace PEFT library: LoraConfig, get_peft_model | Dataset preparation: instruction-response format",Industry Mentor,,
3,27,27.2,LLM Concepts & Responsible Use,"Pre-training, instruction tuning, RLHF overview | Context window: what it is and why it matters | Hallucination: causes, detection, mitigation | Responsible LLM use: bias, toxicity, factuality | Open-source LLMs: Llama, Mistral, Gemma overview",Industry Mentor,,
3,28,28.1,Vector Databases & Semantic Search,"Embedding models: sentence-transformers library | Cosine similarity for semantic search | ChromaDB: create collection, add documents, query | FAISS: fast approximate nearest neighbours | Semantic search vs keyword search: tradeoffs",Industry Mentor,,
3,28,28.2,RAG: Retrieval-Augmented Generation,"RAG pipeline: chunk → embed → store → retrieve → generate | Chunking strategies: fixed size vs recursive character splitter | LangChain: Document, TextSplitter, Retriever, Chain | Evaluating RAG: faithfulness and answer relevance | Common RAG failure modes and how to fix them",Industry Mentor,,
3,29,29.1,AI Agents: Architecture & Tool Use,Agent loop: perceive → reason → act → observe | ReAct pattern: Thought → Action → Observation | LangChain AgentExecutor and defining custom tools | OpenAI function calling syntax | Debugging agents: tracing with LangSmith,Industry Mentor,,
3,29,29.3,Agent Memory Fundamentals,Conversation buffer memory | Vector store memory for long-term recall | Multi-step task planning in agents | Multi-agent collaboration patterns | Agent safety: prompt injection and guardrails,Industry Mentor,,
3,30,30.1,GAN Foundations,GAN framework: generator and discriminator interplay | Loss functions for generator and discriminator,Professor,,
3,30,30.2,GAN Architectures & Challenges,DCGAN architecture for image generation | Mode collapse: what it is and mitigation techniques | Evaluating generative models: FID score overview,Professor,,
3,31,31.1,Diffusion Models,Diffusion process: forward noise addition and reverse denoising | UNet as the denoising network,Industry Mentor,,
3,31,31.2,Stable Diffusion & Model Comparison,"Stable Diffusion architecture: VAE, UNet, CLIP text encoder overview | Guidance scale and negative prompts | Comparing GANs vs Diffusion: quality, stability, speed",Industry Mentor,,
3,32,32.1,Production AI: Serving & Monitoring,"ML model serving: REST, batch vs real-time patterns | LLM serving: vLLM and quantisation (INT8/INT4) overview | Data drift and prediction drift detection | Monitoring dashboards: key metrics to track | Cost optimisation strategies in cloud AI deployments",Industry Mentor,,
3,32,32.2,Multimodal AI,"Vision-language models: architecture overview (LLaVA, GPT-4V) | Audio AI: Whisper for speech transcription | Multimodal embeddings and cross-modal retrieval | Combining text and image in a RAG pipeline | Emerging multimodal applications",Industry Mentor,,
3,33,33.1,Capstone Tasks,Capstone Tasks,,,
3,33,33.2,Capstone Tasks,Capstone Tasks,,,
3,34,34.1,Capstone Tasks,Capstone Tasks,,,
3,34,34.2,Capstone Tasks,Capstone Tasks,,,
3,35,35.1,Capstone Tasks,Capstone Tasks,,,
3,35,35.2,Capstone Tasks,Capstone Tasks,,,
3,36,36.1,Capstone Tasks,Capstone Tasks,,,
3,36,36.2,Capstone Tasks,Capstone Tasks,,,
